89,Mobile Suit Victory Gundam,6.76,"Drama, Mecha, Military, Sci-Fi, Space",TV,51,"Apr 2, 1993 to Mar 25, 1994","TV Asahi, Sotsu, Apollon","Sunrise, Studio Deen",Original,24 min. per ep.,PG-13 - Teens 13 or older,3588
90,Mobile Suit Gundam Wing,7.72,"Action, Military, Sci-Fi, Space, Drama, Mecha",TV,49,"Apr 7, 1995 to Mar 29, 1996",TV Asahi,Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,1118
91,Mobile Suit Gundam Wing: Endless Waltz,7.76,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,3,"Jan 25, 1997 to Jul 25, 1997","Bandai Visual, Sotsu",Sunrise,Original,30 min. per ep.,PG-13 - Teens 13 or older,2512
92,After War Gundam X,7.32,"Sci-Fi, Adventure, Space, Drama, Mecha",TV,39,"Apr 5, 1996 to Dec 28, 1996","TV Asahi, Sotsu",Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,3043
93,Mobile Suit Gundam SEED,7.79,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,50,"Oct 5, 2002 to Sep 27, 2003","Sotsu, Asatsu DK, Mainichi Broadcasting System, Sony Music Entertainment, Atelier Musa",Sunrise,Original,24 min. per ep.,R - 17+ (violence & profanity),1057
94,Mobile Suit Gundam SEED Destiny,7.22,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,50,"Oct 9, 2004 to Oct 1, 2005","Sotsu, Mainichi Broadcasting System, Sony Music Entertainment",Sunrise,Original,24 min. per ep.,R - 17+ (violence & profanity),1530
95,Turn A Gundam,7.7,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",TV,50,"Apr 9, 1999 to Apr 14, 2000","Sotsu, Fuji TV","Sunrise, Nakamura Production",Original,24 min. per ep.,PG-13 - Teens 13 or older,2714
96,Mobile Fighter G Gundam,7.56,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",TV,49,"Apr 1, 1994 to Mar 31, 1995","TV Asahi, Sotsu",Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,2109
97,Last Exile,7.82,"Action, Sci-Fi, Adventure",TV,26,"Apr 8, 2003 to Sep 30, 2003","GDH, Victor Entertainment, TV Tokyo Music",Gonzo,Original,24 min. per ep.,PG-13 - Teens 13 or older,995
98,Mai-HiME,7.46,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",TV,26,"Sep 30, 2004 to Mar 31, 2005","Bandai Visual, TV Tokyo Music, Studio Zain",Sunrise,Original,23 min. per ep.,PG-13 - Teens 13 or older,1381
99,Mai-Otome,7.31,"Comedy, Drama, Fantasy, Magic",TV,26,"Oct 7, 2005 to Mar 31, 2006","Bandai Visual, Lantis, TV Tokyo Music",Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,2370
100,Shin Shirayuki-hime Densetsu Prétear,7.2,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",TV,13,"Apr 4, 2001 to Jun 27, 2001","Kadokawa Shoten, Rondo Robe",Hal Film Maker,Manga,23 min. per ep.,PG-13 - Teens 13 or older,2162
101,Air,7.32,"Slice of Life, Supernatural, Drama, Romance",TV,12,"Jan 7, 2005 to Mar 25, 2005","Pony Canyon, TBS, Movic",Kyoto Animation,Visual novel,24 min. per ep.,PG-13 - Teens 13 or older,563
102,Aishiteruze Baby★★,7.48,"Comedy, Drama, Romance, Shoujo",TV,26,"Apr 3, 2004 to Oct 9, 2004","Animax, Toei Video, Sunny Side Up",TMS Entertainment,Manga,25 min. per ep.,PG-13 - Teens 13 or older,1529
103,Akazukin Chacha,7.39,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",TV,74,"Jan 7, 1994 to Jun 30, 1995","Nihon Ad Systems, Shueisha",Gallop,Manga,24 min. per ep.,G - All Ages,4551
104,Ayashi no Ceres,7.23,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo",TV,24,"Apr 20, 2000 to Sep 28, 2000",Bandai Visual,Studio Pierrot,Manga,21 min. per ep.,R - 17+ (violence & profanity),2182
105,Boys Be...,6.46,"Slice of Life, Comedy, Romance, Shounen",TV,13,"Apr 11, 2000 to Jul 4, 2000",Unknown,Hal Film Maker,Manga,23 min. per ep.,PG-13 - Teens 13 or older,3665
106,Hana yori Dango,7.7,"Drama, Romance, School, Shoujo",TV,51,"Sep 8, 1996 to Aug 31, 1997",Unknown,Toei Animation,Manga,25 min. per ep.,PG-13 - Teens 13 or older,2293
107,Ou Dorobou Jing,7.23,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",TV,13,"May 15, 2002 to Aug 14, 2002",Aniplex,Studio Deen,Manga,24 min. per ep.,PG-13 - Teens 13 or older,2817
108,Ou Dorobou Jing in Seventh Heaven,7.29,"Adventure, Fantasy, Psychological, Comedy, Shounen",OVA,3,"Jan 21, 2004 to Apr 28, 2004",Aniplex,Studio Deen,Manga,30 min. per ep.,PG-13 - Teens 13 or older,4619
109,Bakuretsu Tenshi,6.81,"Adventure, Comedy, Mecha, Sci-Fi",TV,24,"Apr 7, 2004 to Sep 15, 2004","GDH, TV Asahi, Imagica",Gonzo,Original,23 min. per ep.,PG-13 - Teens 13 or older,1965
110,Chuuka Ichiban!,7.63,"Action, Comedy, Drama, Shounen",TV,52,"Apr 27, 1997 to Sep 13, 1998",Unknown,Nippon Animation,Manga,23 min. per ep.,PG-13 - Teens 13 or older,4086
111,Corrector Yui,6.83,"Sci-Fi, Adventure, Comedy, Magic",TV,52,"Apr 9, 1999 to Oct 20, 2000","NHK, Studio Tron",Nippon Animation,Original,25 min. per ep.,PG - Children,4519
112,Chou Henshin Cosprayers,4.95,"Action, Ecchi, Adventure, Fantasy, Magic, Comedy, Super Power, Sci-Fi",TV,8,"Jan 12, 2004 to Mar 1, 2004",m.o.e.,"Imagin, Studio Live",Original,14 min. per ep.,PG-13 - Teens 13 or older,5542
113,Uchuu no Stellvia,7.38,"Action, Mecha, Romance, Sci-Fi, Space",TV,26,"Apr 3, 2003 to Sep 25, 2003","Starchild Records, TV Tokyo Music",Xebec,Original,23 min. per ep.,PG-13 - Teens 13 or older,3577
114,Sakigake!! Cromartie Koukou,7.93,"Comedy, School, Shounen",TV,26,"Oct 3, 2003 to Mar 26, 2004",TV Tokyo Music,Production I.G,Manga,12 min. per ep.,PG-13 - Teens 13 or older,1279
115,El Hazard: The Alternative World,6.83,"Adventure, Comedy, Fantasy",TV,13,"Jan 8, 1998 to Mar 26, 1998",Pioneer LDC,AIC,Original,25 min. per ep.,PG-13 - Teens 13 or older,4961
116,El Hazard: The Wanderers,6.97,"Adventure, Comedy, Romance, Fantasy",TV,26,"Oct 6, 1995 to Mar 29, 1996","TV Tokyo, Geneon Universal Entertainment, SoftX, Pioneer LDC, TV Tokyo Music, Atelier Musa",AIC,Original,23 min. per ep.,PG-13 - Teens 13 or older,4198
117,El Hazard: The Magnificent World,7.32,"Adventure, Comedy, Romance, Fantasy",OVA,7,"May 26, 1995 to Jan 25, 1996",Pioneer LDC,AIC,Original,34 min. per ep.,PG-13 - Teens 13 or older,4129
118,El Hazard 2: The Magnificent World,6.85,"Adventure, Comedy, Fantasy",OVA,4,"Mar 21, 1997 to Oct 25, 1997",Pioneer LDC,AIC,Original,30 min. per ep.,PG-13 - Teens 13 or older,5421
119,Final Approach,6.56,"Comedy, Drama, Romance, Slice of Life",TV,13,"Oct 3, 2004 to Dec 26, 2004",Trinet Entertainment,Zexcs,Visual novel,14 min. per ep.,PG-13 - Teens 13 or older,2887
120,Fruits Basket,7.69,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",TV,26,"Jul 5, 2001 to Dec 27, 2001","TV Tokyo, Nihon Ad Systems, King Records",Studio Deen,Manga,24 min. per ep.,PG-13 - Teens 13 or older,314
121,Fullmetal Alchemist,8.17,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51,"Oct 4, 2003 to Oct 2, 2004","Aniplex, Dentsu, Square Enix, Mainichi Broadcasting System",Bones,Manga,24 min. per ep.,PG-13 - Teens 13 or older,52
122,Full Moon wo Sagashite,7.96,"Music, Comedy, Supernatural, Drama, Romance, Shoujo",TV,52,"Apr 6, 2002 to Mar 29, 2003",Nihon Ad Systems,Studio Deen,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1519
123,Fushigi Yuugi,7.64,"Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo",TV,52,"Apr 6, 1995 to Mar 28, 1996","TV Tokyo, Shogakukan-Shueisha Productions, Yomiko Advertising, Apollon",Studio Pierrot,Manga,23 min. per ep.,PG-13 - Teens 13 or older,1434
124,Fushigi Yuugi: Eikouden,6.86,"Adventure, Fantasy, Romance, Drama, Shoujo",OVA,4,"Dec 21, 2001 to Jun 25, 2002",Unknown,Studio Pierrot,Manga,30 min. per ep.,PG-13 - Teens 13 or older,4101
125,Futakoi,6.49,"Comedy, Romance, School",TV,13,"Oct 6, 2004 to Dec 29, 2004",Lantis,Telecom Animation Film,Original,24 min. per ep.,PG-13 - Teens 13 or older,2900
126,Futakoi Alternative,6.91,"Comedy, Drama, Romance",TV,13,"Apr 7, 2005 to Jun 30, 2005",Lantis,"ufotable, feel., Studio Flag",Original,24 min. per ep.,PG-13 - Teens 13 or older,3071
127,Gate Keepers,6.96,"Action, Sci-Fi, Comedy, Fantasy, Mecha, Shounen",TV,24,"Apr 3, 2000 to Sep 18, 2000",Media Factory,Gonzo,Game,25 min. per ep.,PG-13 - Teens 13 or older,3717
128,Gate Keepers 21,6.79,"Action, Drama, Mecha, Sci-Fi, Shounen",OVA,6,"Apr 24, 2002 to Jan 8, 2003",Unknown,Gonzo,Game,30 min. per ep.,PG-13 - Teens 13 or older,5026
129,Gensoumaden Saiyuuki,7.59,"Action, Adventure, Comedy, Demons, Drama, Shounen, Supernatural",TV,50,"Apr 4, 2000 to Mar 27, 2001","TV Tokyo, Dentsu, Group TAC",Studio Pierrot,Manga,23 min. per ep.,R - 17+ (violence & profanity),2359
130,Saiyuuki Reload,7.41,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",TV,25,"Oct 2, 2003 to Mar 25, 2004",Unknown,Studio Pierrot,Manga,23 min. per ep.,PG-13 - Teens 13 or older,3071
